num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,10,7.386702537536621,70800000,93393800,75009700,6,9237750,148192000,91011500,12501616.666666666,168403500,239203500,13.043262481689451,78.25957489013672
25000,10,7.382791996002197,202250000,182332900,307979100,7,24078500,401844200,290717800,43997014.28571428,490312000,692562000,34.62301642554147,242.36111497879028
40000,10,7.342986106872559,525600000,326358300,964480300,12,40000000,1062768800,753669800,80373358.33333333,1290838600,1816438600,48.64761102199554,583.7713322639465
55000,10,7.344498634338379,611600000,348634500,803256800,10,52844700,1173846200,589645100,80325680.0,1151891300,1763491300,51.53035364151001,515.3035364151001
70000,10,7.354467108845711,736421875,532405528.125,1308944481.25,9.40625,69726896.875,1473940303.125,1103831581.25,134471934.5486111,1841350009.375,2577771884.375,88.62418702947788,845.4242368787527
