num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,10,7.386702537536621,101100000,75759800,271043900,9,0,0,0,30115988.888888888,346803700,447903700,25.49132725927565,229.42194533348083
25000,10,7.382791996002197,202250000,109104300,376822000,7,0,0,0,53831714.28571428,485926300,688176300,48.36598345211574,338.5618841648102
40000,10,7.342986106872559,646800000,212180200,1485514100,15,0,0,0,99034273.33333331,1697694300,2344494300,73.33155330022176,1099.9732995033264
55000,10,7.344498634338379,778250000,375998300,1435169000,13,0,0,0,110397615.3846154,1811167300,2589417300,94.10754154278682,1223.3980400562286
70000,10,7.350424766540527,849100000,452426700,1336988800,11,0,0,0,121544436.36363636,1789415500,2638515500,115.8770809173584,1274.6478900909424
