num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,7.863288879394531,30350000,35412900,59936200,5,0,0,0,11987240.0,95349100,125699100,12.53218584060669,62.66092920303345
25000,5,7.862508773803711,88500000,71111900,208616900,6,0,0,0,34769483.333333336,279728800,368228800,28.250383218129475,169.50229930877686
40000,5,7.855526447296143,161800000,193162000,261109300,7,0,0,0,37301328.571428575,454271300,616071300,40.78164751189096,285.4715325832367
55000,5,7.85075569152832,111375000,151065700,185185700,3,0,0,0,61728566.66666666,336251400,447626400,68.49651686350505,205.4895505905152
70000,5,7.88101053237915,212450000,273811600,440511400,5,0,0,0,88102280.0,714323000,926773000,86.13625617027283,430.68128085136414
1000,5,7.869151592254639,3540000,3036300,7421700,6,0,0,0,1236950.0,10458000,13998000,1.0000024636586506,6.000014781951904
1000,5,7.919760227203369,679517,916389,2193215,3,0,0,0,731071.6666666666,3109604,3789121,0.29941463470458984,0.8982439041137695
