num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,11.832353591918944,31311745,4796596,40826799,3,7619423,31589513,47830016,13608933.0,45623395,76935140,45345627,7.472449938456218,22.41734981536865,11336406.75,5.604337453842162
23333,5,11.752500534057615,85446050,11304545,106550735,4,17746585,89592309,120301386,26637683.75,117855280,203301330,113709021,15.032388985157011,60.12955594062805,22741804.2,12.02591118812561
36666,5,11.745811462402344,111140612,16334006,94724054,3,27894277,110643942,127022332,31574684.666666668,111058060,222198672,111554730,22.105066061019897,66.31519818305969,27888682.5,16.578799545764923
50000,5,11.673832893371582,243602364,23675975,224493004,6,38308468,278350139,255727936,37415500.66666666,248168979,491771343,213421204,24.90290868282318,149.4174520969391,30488743.42857143,21.34535029956273
