num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,11.776723861694336,134968590,4523624,27206787,3,0,0,0,9068929.0,31730411,166699001,166699001,17.808247725168865,53.42474317550659,41674750.25,13.356185793876648
23333,5,11.71092700958252,456197232,10712422,135198000,5,0,0,0,27039600.0,145910422,602107654,602107654,37.860141849517824,189.3007092475891,100351275.66666667,31.55011820793152
36666,5,11.67861270904541,478511980,16141078,89632507,3,0,0,0,29877502.33333333,105773585,584285565,584285565,61.92254304885864,185.767629146576,146071391.25,46.441907286644
50000,5,11.719813346862791,1007412394,22736279,219403195,5,0,0,0,43880639.0,242139474,1249551868,1249551868,83.82579922676086,419.1289961338043,208258644.66666666,69.85483268896739
