num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,439.0273132324219,25812751,9361400,74778413,2.0,8471599,24021295,57934581,18694603.25,84139813,109952564,85931269,18.564410269260406,74.25764107704163,28643756.333333332,24.752547025680542
20000,5,432.2702941894531,153389554,33064710,4308591671,11.0,16918073,228190755,2495488094,195845075.95454547,4341656381,4495045935,4266855180,133.6040419556878,2939.288923025131,355571265.0,244.9407435854276
30000,5,431.2200622558594,93849107,41131124,632178558,3.0,25256570,94624306,404791513,105363093.0,673309682,767158789,672534483,85.79765681425731,514.7859408855438,168133620.75,128.69648522138596
40000,5,428.9501953125,147287462,55216503,1902947706,4.0,33830096,162029820,1196797182,237868463.25,1958164209,2105451671,1943421851,176.2583594918251,1410.0668759346008,388684370.2,282.01337518692014
