num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,434.6246948242188,80085466,25955862,201176368,1.0,0,0,0,100588184.0,227132230,307217696,307217696,117.39929461479188,234.7985892295837,153608848.0,117.39929461479186
20000,5,430.58099365234375,483988336,35686862,1736835467,5.0,0,0,0,173683546.7,1772522329,2256510665,2256510665,174.88272371292115,1748.8272371292114,376085110.8333333,291.4712061882019
30000,5,430.9075927734375,482645241,41061739,624745799,3.0,0,0,0,104124299.83333331,665807538,1148452779,1148452779,157.7119938135147,946.2719628810884,287113194.75,236.5679907202721
40000,5,428.6460876464844,2699885584,55310522,6622734074,16.0,0,0,0,206960439.8125,6678044596,9377930180,9377930180,217.60226337611675,6963.272428035736,551642951.7647059,409.6042604726904
