num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,7.897571086883545,25300000,27684000,79149800,8,0,0,0,9893725.0,106833800,132133800,7.114619821310043,56.91695857048035
25000,5,7.893653869628906,63250000,112917100,166933500,8,0,0,0,20866687.5,279850600,343100600,19.02242562174797,152.17940497398376
40000,5,7.84628438949585,101200000,229472300,337902900,8,0,0,0,42237862.5,567375200,668575200,36.206956684589386,289.6556534767151
55000,5,7.868128299713135,166925000,245049100,704643600,10,0,0,0,70464360.0,949692700,1116617700,49.842748856544496,498.42748856544495
70000,5,7.839935779571533,177100000,300747000,632333600,8,0,0,0,79041700.0,933080600,1110180600,59.91988256573677,479.35906052589417
