num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,7.897571086883545,25300000,27684000,33260200,4,0,0,0,8315050.0,60944200,86244200,10.1706605553627,40.682642221450806
25000,5,7.893653869628906,63250000,112917100,66256600,4,0,0,0,16564150.0,179173700,242423700,28.948137879371643,115.79255151748656
40000,5,7.84628438949585,101200000,229472300,129641300,4,0,0,0,32410325.0,359113600,460313600,53.76133579015732,215.04534316062927
55000,5,7.868128299713135,166925000,245049100,358751000,5,0,0,0,71750200.0,603800100,770725100,75.80727682113647,379.0363841056824
70000,5,7.839935779571533,177100000,300747000,283263100,4,0,0,0,70815775.0,584010100,761110100,88.3648254275322,353.4593017101288
