num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,7.897571086883545,25300000,33252000,26981500,4,8027800,62789800,22743700,6745375.0,60233500,85533500,5.921418249607086,23.685672998428345
25000,5,7.893653869628906,63250000,103007700,59791900,4,19086300,152552200,73497400,14947975.0,162799600,226049600,17.50201851129532,70.00807404518127
40000,5,7.84628438949585,121400000,196327200,249598700,5,36985500,319286000,248039900,49919740.0,445925900,567325900,40.5472827911377,202.73641395568848
55000,5,7.868128299713135,139150000,278175900,320255900,4,54603300,427543700,310038100,80063975.0,598431800,737581800,62.47847771644592,249.9139108657837
70000,5,7.839935779571533,177100000,284767900,238137100,4,57499600,465249500,234755500,59534275.0,522905000,700005000,51.95933985710144,207.83735942840576
