num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,7.863288879394531,25300000,42788600,38888900,4,8870000,73941500,33036000,9722225.0,81677500,106977500,8.16282856464386,32.65131425857544
25000,5,7.862508773803711,101125000,69272600,141730500,7,19674400,219148500,92979600,20247214.285714287,211003100,312128100,12.64795310156686,88.53567171096802
40000,5,7.855526447296143,161800000,236800500,365031800,7,38101700,442110300,321522000,52147400.0,601832300,763632300,36.78978303500584,257.5284812450409
55000,5,7.85075569152832,111375000,209621300,162235800,3,43526100,300601200,182630900,54078600.0,371857100,483232100,54.335370222727455,163.00611066818237
70000,5,7.88101053237915,212450000,297996000,409104600,5,66604300,549086400,370464200,81820920.0,707100600,919550600,61.29752569198608,306.4876284599304
1000,5,7.869151592254639,3540000,3189800,9924000,6,999802,16653800,0,1654000.0,13113800,16653800,0.1189459562301635,0.7136757373809814
1000,5,7.919760227203369,706749,1104877,2614173,4,602779,3879725,0,653543.25,3719050,4425799,0.0873572826385498,0.3494291305541992
