num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
50000,5,529.0068969726562,154628636,34673147,560696305,12,0,0,0,46724692.083333336,595369452,749998088,56.54866631825765,678.5839958190918
50000,10,500.77545166015625,618298521,60422402,3316961771,26,0,0,0,127575452.73076925,3377384173,3995682694,136.33768428288974,3544.779791355133
50000,15,0.0,3396930032,82675737,9153596603,100,0,0,0,91535966.03,9236272340,12633202372,111.18213708400727,11118.213708400726
