num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,439.0273132324219,79937716,10849880,49899875,1.0,0,0,0,24949937.5,60749755,140687471,140687471,53.96239507198334,107.92479014396667,70343735.5,53.96239507198334
20000,5,432.1259460449219,1259627134,35475230,5534821855,15.0,0,0,0,184494061.8333333,5570297085,6829924219,6829924219,153.44123169581096,4603.236950874329,426870263.6875,287.70230942964554
30000,5,431.28814697265625,825445354,36783362,1771297111,6.0,0,0,0,147608092.58333334,1808080473,2633525827,2633525827,152.55679523944855,1830.6815428733823,376217975.28571427,261.52593469619745
40000,5,428.85931396484375,935341210,50106828,3062048599,5.0,0,0,0,306204859.9,3112155427,4047496637,4047496637,278.85823848247526,2788.582384824753,674582772.8333334,464.7637308041255
