num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,437.11138916015625,39384721,16112417,332718800,4,8342299,58651457,280933343,83179700.0,348831217,388215938,329564481,65.53891044855118,262.1556417942047,65912896.2,52.431128358840944
20000,5,435.5698852539063,176612611,24788862,1622156621,12,16644811,217107925,1345662654,135179718.41666666,1646945483,1823558094,1606450169,111.23012266556422,1334.7614719867706,123573089.92307691,102.67395938359776
30000,5,429.01849365234375,181611043,49182578,1602412317,8,24724147,214500518,1336523997,200301539.625,1651594895,1833205938,1618705420,157.04916590452194,1256.3933272361755,179856157.7777778,139.59925858179727
40000,5,433.443115234375,103799352,41673545,275631019,2,33913600,90478303,290957433,137815509.5,317304564,421103916,330625613,159.4524154663086,318.9048309326172,110208537.66666669,106.3016103108724
