num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,439.5799865722656,79530344,9218209,30899665,1,0,0,0,30899665.0,40117874,119648218,119648218,92.50066900253296,92.50066900253296,59824109.0,46.25033450126648
20000,5,432.5984497070313,157386023,19616595,49879813,1,0,0,0,49879813.0,69496408,226882431,226882431,178.20875597000122,178.20875597000122,113441215.5,89.10437798500061
30000,5,431.2237243652344,708299147,41810877,941065884,5,0,0,0,188213176.8,982876761,1691175908,1691175908,250.6023973941803,1253.0119869709015,281862651.3333333,208.83533116181692
40000,5,430.6158142089844,939446252,36883017,423209233,5,0,0,0,84641846.6,460092250,1399538502,1399538502,212.21783723831177,1061.0891861915588,233256417.0,176.84819769859314
