num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,87.34068298339844,69650278,8834928,44742346,5,4407195,66491398,57526084,8948469.2,53577274,123227552,56736154,4.579481410980224,22.897407054901123,9456025.666666666,3.816234509150187
25000,5,86.42974090576172,147865347,20622607,106854719,5,9862616,132092692,133953283,21370943.8,127477326,275342673,143249981,12.074591779708864,60.37295889854431,23874996.833333332,10.062159816424051
40000,5,86.35272216796875,197388419,29831137,171074046,4,15790462,172171334,210133652,42768511.5,200905183,398293602,226122268,22.94133627414704,91.76534509658812,45224453.6,18.353069019317623
55000,5,86.67990112304688,219684595,42090990,150675790,3,21705467,187560064,213081873,50225263.333333336,192766780,412451375,224891311,31.72455096244812,95.17365288734436,56222827.75,23.79341322183609
70000,5,86.32240295410156,264827865,46159108,146178816,3,25903392,219596049,213802755,48726272.0,192337924,457165789,237569740,38.34640661875407,115.0392198562622,59392435.0,28.75980496406555
