num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,86.48535919189453,42288643,9477822,66520537,3.0,3959880,38736323,73259064,11086756.166666666,75998359,118287002,79550679,4.574763655662537,27.44858193397522,19887669.75,6.862145483493805
25000,5,87.22798156738281,76496286,20961751,87138384,2.0,9937241,62087566,112949059,21784596.0,108100135,184596421,122508855,11.137880504131315,44.55152201652527,40836285.0,14.850507338841757
40000,5,86.77407836914062,166324254,36053823,210578612,3.0,16144010,139220878,248483322,35096435.333333336,246632435,412956689,273735811,15.87277901172638,95.23667407035828,68433952.75,23.80916851758957
55000,5,86.23445129394531,212378907,41014601,278875106,3.0,23313273,171570946,302456050,46479184.333333336,319889707,532268614,360697668,22.8673304716746,137.2039828300476,90174417.0,34.3009957075119
70000,5,86.48848724365234,263138221,50877022,481813848,3.0,26146230,215567515,482694937,80302308.0,532690870,795829091,580261576,35.75305596987406,214.5183358192444,145065394.0,53.6295839548111
