num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,87.48088836669922,64875294,7219222,52917332,5,0,0,0,10583466.4,60136554,125011848,125011848,7.354470729827881,36.77235364913941
25000,5,86.74698638916016,107758136,18054263,86481552,3,0,0,0,28827184.0,104535815,212293951,212293951,21.054275274276733,63.1628258228302
40000,5,86.26239013671875,172869765,30890356,93308411,3,0,0,0,31102803.666666668,124198767,297068532,297068532,30.296541929244995,90.889625787735
55000,5,86.54472351074219,458392703,44746148,359666133,6,0,0,0,59944355.5,404412281,862804984,862804984,41.84214250246684,251.05285501480105
70000,5,86.3740463256836,384574086,49073222,280031515,4,0,0,0,70007878.75,329104737,713678823,713678823,54.588156282901764,218.35262513160706
