num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,87.34068298339844,72631313,8055906,45780664,5,0,0,0,9156132.8,53836570,126467883,126467883,7.793166971206665,38.965834856033325,21077980.5,6.494305809338887
25000,5,86.42974090576172,168221167,18467305,116332078,5,0,0,0,23266415.6,134799383,303020550,303020550,19.19239006042481,95.96195030212402,50503425.0,15.993658383687338
40000,5,86.35272216796875,231819603,31005803,166999621,4,0,0,0,41749905.25,198005424,429825027,429825027,33.76524478197098,135.0609791278839,85965005.4,27.012195825576782
55000,5,86.67990112304688,242814895,41965541,144075925,3,0,0,0,48025308.333333336,186041466,428856361,428856361,47.08910465240479,141.26731395721436,107214090.25,35.31682848930359
70000,5,86.32240295410156,299655452,51840716,184225083,3,0,0,0,61408361.0,236065799,535721251,535721251,60.65591931343079,181.9677579402924,133930312.75,45.4919394850731
