num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,10,79.76707458496094,231545325,15424535,604616683,20,0,0,0,30230834.15,620041218,851586543,851586543,12.113489520549772,242.26979041099548
25000,10,79.01261901855469,582305417,38671296,1334724293,20,0,0,0,66736214.65,1373395589,1955701006,1955701006,28.00012151002884,560.0024302005768
40000,10,78.7837905883789,602127856,56198792,1409432011,12,0,0,0,117452667.58333331,1465630803,2067758659,2067758659,49.50391467412313,594.0469760894775
55000,10,78.71830749511719,1166440880,77121364,2856468073,18,0,0,0,158692670.7222222,2933589437,4100030317,4100030317,65.8155010011461,1184.67901802063
70000,10,78.733154296875,1468950974,105978405,3879095966,18,0,0,0,215505331.44444445,3985074371,5454025345,5454025345,87.74996606508891,1579.4993891716003
