num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,86.34406280517578,32235369,7346606,31118458,4,0,0,0,7779614.5,38465064,70700433,70700433,5.684065043926239,22.73626017570496
25000,5,86.73983764648438,107871187,16888900,119832828,6,0,0,0,19972138.0,136721728,244592915,244592915,13.10518447558085,78.63110685348511
40000,5,86.6819839477539,242316013,34347504,282148958,8,0,0,0,35268619.75,316496462,558812475,558812475,20.337312638759613,162.6985011100769
55000,5,86.66836547851562,290591065,42050277,423400485,8,0,0,0,52925060.625,465450762,756041827,756041827,28.01861023902893,224.14888191223145
70000,5,86.17764282226562,293507017,39937547,323113737,6,0,0,0,53852289.5,363051284,656558301,656558301,33.573940674463906,201.44364404678345
