num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,87.48088836669922,60045817,7896527,57674951,5,3885560,57278515,65812693,11534990.2,65571478,125617295,68338780,4.978703594207763,24.89351797103882
25000,5,86.74698638916016,96267295,19963996,88615796,3,9431066,80084248,112915541,29538598.666666668,108579792,204847087,124762839,15.549988031387327,46.64996409416199
40000,5,86.26239013671875,152556741,31190736,104509118,3,14766207,123786364,146150681,34836372.666666664,135699854,288256595,164470231,22.467003266016643,67.40100979804993
55000,5,86.54472351074219,409922135,44777091,314348685,6,21134370,361782021,371689650,52391447.5,359125776,769047911,407265890,25.897945523262024,155.38767313957214
70000,5,86.3740463256836,326348827,48716918,283072870,4,25711668,268691506,337553301,70768217.5,331789788,658138615,389447109,38.699000000953674,154.7960000038147
