num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime,total_complexity_with_caching,average_complexity_with_caching,average_runtime
10000,5,87.18781280517578,32456535,7146279,29722521,2,0,0,0,14861260.5,36868800,69325335,10.196746110916138,20.393492221832275,69325335.0,23108445.0,6.797830740610759
25000,5,86.75164031982422,107682114,17467110,64226648,3,0,0,0,21408882.666666668,81693758,189375872,18.93497570355733,56.804927110672,189375872.0,47343968.0,14.201231777668
40000,5,86.6095962524414,176982518,29688659,99827506,3,0,0,0,33275835.33333333,129516165,306498683,30.90915830930074,92.72747492790222,306498683.0,76624670.75,23.181868731975555
55000,5,86.50186920166016,229000002,40483663,141922066,3,0,0,0,47307355.333333336,182405729,411405731,43.3918259938558,130.17547798156738,411405731.0,102851432.75,32.543869495391846
70000,5,86.35459899902344,364801026,46513115,260494974,4,0,0,0,65123743.5,307008089,671809115,53.2054477930069,212.8217911720276,671809115.0,134361823.0,42.56435823440552
