num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,86.44972229003906,75277771,7252466,136088605,12,0,0,0,11340717.083333334,143341071,218618842,218618842,5.718808492024739,68.62570190429688
25000,5,86.25357818603516,107611311,17952093,123258607,6,0,0,0,20543101.166666668,141210700,248822011,248822011,13.396595994631449,80.3795759677887
40000,5,86.36851501464844,177987754,34383510,197397649,6,0,0,0,32899608.166666668,231781159,409768913,409768913,21.715038657188416,130.2902319431305
55000,5,86.17909240722656,294853701,33888788,360420543,8,0,0,0,45052567.875,394309331,689163032,689163032,25.60414096713066,204.8331277370453
70000,5,86.35945892333984,304193828,50050446,318548801,6,0,0,0,53091466.833333336,368599247,672793075,672793075,33.769091963768005,202.61455178260803
