num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,439.635986328125,39264855,5109208,86452087,4,8447143,44428149,78268076,21613021.75,91561295,130826150,86398001,21.066774725914,84.267098903656
20000,5,432.5984497070313,224298082,7511476,818973980,16,16973503,284902519,643634618,51185873.75,826485456,1050783538,765881019,43.49101711809635,695.8562738895416
30000,5,431.3190002441406,130745415,11308341,530084253,5,25278445,142925966,414381475,106016850.6,541392594,672138009,529212043,90.16084661483764,450.8042330741882
40000,5,430.6158142089844,227930730,15333479,1066416684,7,33764111,261223999,809970262,152345240.57142857,1081750163,1309680893,1048456894,123.950225012643,867.651575088501
