num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,87.19082641601562,42451598,7614139,58639620,3.0,0,0,0,9773270.0,66253759,108705357,108705357,5.307770331700643,31.846621990203857,27176339.25,7.961655497550964
25000,5,86.3617172241211,131957153,16278320,173856375,4.0,0,0,0,21732046.875,190134695,322091848,322091848,11.857093960046768,94.85675168037416,64418369.6,18.97135033607483
40000,5,86.31012725830078,172666551,25361472,179160157,3.0,0,0,0,29860026.166666668,204521629,377188180,377188180,18.946574211120605,113.67944526672365,94297045.0,28.41986131668091
55000,5,86.39803314208984,302843916,41504096,370232696,4.0,0,0,0,46279087.0,411736792,714580708,714580708,25.885327339172363,207.0826187133789,142916141.6,41.41652374267578
70000,5,86.36365509033203,228746750,49405560,203966182,2.0,0,0,0,50991545.5,253371742,482118492,482118492,36.8849647641182,147.53985905647278,160706164.0,49.17995301882426
