num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,10,79.69647216796875,130730894,16629944,227609798,5.0,0,0,0,22760979.8,244239742,374970636,374970636,10.927324509620666,109.27324509620668,62495106.0,18.212207516034447
25000,10,79.03135681152344,536102854,35826283,1120552577,9.0,0,0,0,62252920.94444445,1156378860,1692481714,1692481714,26.796544286939834,482.337797164917,169248171.4,48.233779716491696
40000,10,78.92349243164062,777675636,65032883,1676394655,8.0,0,0,0,104774665.9375,1741427538,2519103174,2519103174,49.47100512683392,791.5360820293427,279900352.6666667,87.94845355881586
55000,10,79.14645385742188,949989542,81366509,1987202790,7.0,0,0,0,141943056.42857143,2068569299,3018558841,3018558841,68.36460334914071,957.10444688797,377319855.125,119.63805586099625
70000,10,78.95065307617188,1237464130,113454390,3412391157,7.0,0,0,0,243742225.5,3525845547,4763309677,4763309677,105.71645643029896,1480.0303900241852,595413709.625,185.00379875302315
