num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,10,79.12953186035156,155461864,15107087,112561885,6,0,0,0,18760314.166666668,127668972,283130836,283130836,13.54028034210205,81.2416820526123
25000,10,79.05097961425781,429722599,41876699,412348538,7,0,0,0,58906934.0,454225237,883947836,883947836,36.79829972130912,257.5880980491638
40000,10,79.13787841796875,928378898,59675508,1228890014,10,0,0,0,122889001.4,1288565522,2216944420,2216944420,64.63955190181733,646.3955190181732
55000,10,78.74982452392578,578776413,75160406,546593838,4,0,0,0,136648459.5,621754244,1200530657,1200530657,90.72592175006866,362.90368700027466
70000,10,78.71376037597656,1043406828,105767508,1265871786,6,0,0,0,210978631.0,1371639294,2415046122,2415046122,118.95106681187947,713.7064008712769
