num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,87.19082641601562,37670566,8379039,59587900,6,3622047,32686864,62641653,9931316.666666666,67966939,105637505,72950641,4.152573664983113,24.91544198989868
25000,5,86.3617172241211,122536407,21589192,161415538,8,9328907,103263179,169513978,20176942.25,183004730,305541137,202277958,8.810759007930756,70.48607206344604
40000,5,86.31012725830078,166646401,30026298,226194458,6,18075465,140344539,257065410,37699076.333333336,256220756,422867157,282522618,15.06989618142446,90.41937708854675
55000,5,86.39803314208984,277394039,41449079,380503182,8,20938509,238023870,403969981,47562897.75,421952261,699346300,461322430,19.18448346853256,153.4758677482605
70000,5,86.36365509033203,197318524,47616372,245398398,4,25579413,153688530,288258468,61349599.5,293014770,490333294,336644764,30.1565380692482,120.6261522769928
