num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,439.635986328125,32019872,9442151,98556639,6,8369200,33498339,73384031,16426106.5,107998790,140018662,106520323,15.995121995608011,95.97073197364809
20000,5,432.5984497070313,109749275,20821600,445674591,14,16657532,125031738,293209701,31833899.35714286,466496191,576245466,451213728,27.24091299942561,381.3727819919586
30000,5,431.2237243652344,386627879,55426917,5274091149,38,24940491,505747790,3050578755,138791872.34210527,5329518066,5716145945,5210398155,99.53813636930366,3782.449182033539
40000,5,430.6158142089844,125024380,35902864,518432183,6,33409062,121285740,368477298,86405363.83333333,554335047,679359427,558073687,74.66981784502666,448.0189070701599
