num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,10,80.12200927734375,261431163,15353401,725182670,11.0,0,0,0,32962848.63636364,740536071,1001967234,1001967234,12.821422912857749,282.0713040828705,83497269.5,23.505942006905872
25000,10,79.23188018798828,415986829,37741648,1063667114,7.0,0,0,0,75976222.42857143,1101408762,1517395591,1517395591,31.082033497946604,435.1484689712525,189674448.875,54.39355862140656
40000,10,78.77022552490234,696680344,68072102,1670203997,7.0,0,0,0,119300285.5,1738276099,2434956443,2434956443,49.92804363795689,698.9926109313965,304369555.375,87.37407636642456
55000,10,79.07402038574219,725791052,89237632,1691017512,5.0,0,0,0,169101751.2,1780255144,2506046196,2506046196,71.56954529285431,715.6954529285431,417674366.0,119.28257548809052
70000,10,78.84764099121094,1644231007,119285771,4516757226,10.0,0,0,0,225837861.3,4636042997,6280274004,6280274004,90.98218410015106,1819.6436820030208,570934000.3636364,165.42215290936554
