num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,439.0273132324219,56078272,4099802,132760720,7,8436620,66158164,107320409,18965817.14285714,136860522,192938794,126780630,17.743647166660853,124.20553016662598
20000,5,432.11865234375,132978148,7378568,3047405928,9,16718457,240337630,2408465560,338600658.6666667,3054784496,3187762644,2947425014,237.749678240882,2139.7471041679382
30000,5,431.2200622558594,239509031,11238589,1710267155,11,25424083,296711882,1250412043,155478832.27272728,1721505744,1961014775,1664302893,122.21519966558976,1344.3671963214874
40000,5,428.85931396484375,244462157,14702255,2005949498,8,33952266,295242185,1541400195,250743687.25,2020651753,2265113910,1969871725,192.9418057501316,1543.5344460010529
