num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,10,79.16307830810547,125125326,14266175,129616702,6,3637570,120409532,126476693,21602783.666666668,143882877,269008203,148598671,9.950895190238953,59.70537114143372
25000,10,79.20335388183594,529067766,35760267,463523637,11,9300313,477111521,450984959,42138512.45454545,499283904,1028351670,551240149,20.549740184437145,226.0471420288086
40000,10,78.77433013916016,776569763,69430171,885792432,10,14788838,698488590,869376521,88579243.2,955222603,1731792366,1033303776,40.39684381484985,403.96843814849854
55000,10,78.78450012207031,808544134,76893570,1040729144,7,20756674,719687570,1007079902,148675592.0,1117622714,1926166848,1206479278,63.45854187011719,444.2097930908203
70000,10,78.91048431396484,1114806456,132320824,1277483417,7,28248679,1023975686,1294820038,182497631.0,1409804241,2524610697,1500635011,80.1869705745152,561.3087940216064
