num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime,average_complexity_with_caching,average_runtime
10000,5,87.34068298339844,75022202,7749825,86352247,5.0,0,0,0,8635224.7,94102072,169124274,169124274,4.925910925865173,49.25910925865173,28187379.0,8.209851543108622
25000,5,86.42974090576172,167517682,20451145,206278914,5.0,0,0,0,20627891.4,226730059,394247741,394247741,12.266420888900758,122.66420888900755,65707956.833333336,20.44403481483459
40000,5,86.35272216796875,224265709,29427606,291630883,4.0,0,0,0,36453860.375,321058489,545324198,545324198,21.277971267700195,170.22377014160156,109064839.6,34.04475402832031
55000,5,86.67990112304688,245209217,40294987,272091673,3.0,0,0,0,45348612.16666666,312386660,557595877,557595877,29.57490849494934,177.44945096969604,139398969.25,44.36236274242401
70000,5,86.32240295410156,301915411,53471158,352406698,3.0,0,0,0,58734449.66666666,405877856,707793267,707793267,38.90376500288645,233.42259001731875,176948316.75,58.35564750432969
