num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,5,86.48535919189453,45148820,8810445,38499531,3,0,0,0,12833177.0,47309976,92458796,92458796,9.619412978490194,28.85823893547058
25000,5,87.22798156738281,88114237,23162024,65061168,2,0,0,0,32530584.0,88223192,176337429,176337429,27.34799838066101,54.69599676132202
40000,5,86.77407836914062,184483958,35981065,109931465,3,0,0,0,36643821.66666666,145912530,330396488,330396488,35.65847667058309,106.97543001174928
55000,5,86.23445129394531,236072611,39643312,140640827,3,0,0,0,46880275.66666666,180284139,416356750,416356750,47.0828742980957,141.2486228942871
70000,5,86.48848724365234,302266070,50285126,192935636,3,0,0,0,64311878.666666664,243220762,545486832,545486832,62.17265899976095,186.51797699928284
