num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,540.2523193359375,15200000,12727000,20928900,4,5342191,42207900,6648000,5232225.0,33655900,48855900,6.19879138469696,24.79516553878784
20000,5,533.5609741210938,80900000,26695000,123622000,14,12378600,215304800,15912200,8830142.857142856,150317000,231217000,4.508018970489502,63.11226558685303
30000,5,531.6768188476562,75900000,35891800,94314200,8,15265900,192016000,14090000,11789275.0,130206000,206106000,8.04448190331459,64.35585522651672
40000,5,0.0,1030400000,59376700,2956549300,100,36602300,3853515700,192810300,29565493.0,3015926000,4046326000,6.558830678462982,655.8830678462982
