num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,7.862407684326172,35400000,33887500,147602500,12,0,0,0,12300208.333333334,181490000,216890000,7.976880967617035,95.72257161140442
25000,5,7.843271255493164,75875000,90110400,236492300,10,0,0,0,23649230.0,326602700,402477700,16.9308082818985,169.308082818985
40000,5,7.845628261566162,161800000,130559200,584841900,14,0,0,0,41774421.42857143,715401100,877201100,25.49582431997572,356.94154047966003
55000,5,7.842898845672607,194700000,248576300,772807400,12,0,0,0,64400616.66666666,1021383700,1216083700,42.356728772322334,508.280745267868
70000,5,7.903189182281494,141750000,315926300,514688000,6,0,0,0,85781333.33333333,830614300,972364300,70.48046477635701,422.8827886581421
