num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
1000,10,0.802879011258483,25771385,924545,167941495,51,500544.5,194637425,0,1682083.0,168866040,194637425,0.14181208744645113,14.116828985512257
14000,10,5.931262567639351,22770,10890,10890,2,1089.0,44550,0,5445.0,21780,44550,0.0062857680022715,0.0125715360045432
27000,10,8.242847591638565,22770,10890,10890,2,1089.0,44550,0,5445.0,21780,44550,0.0098323337733745,0.0196646675467491
40000,10,10.01548308134079,22770,10890,10890,2,1089.0,44550,0,5445.0,21780,44550,0.0138913728296756,0.0277827456593513
