num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
33,5,14.17819881439209,16995,5445,10890,4,0,0,0,2722.5,16335,33330,0.047264814376831,0.1890592575073241
33,10,11.42548942565918,45210,10890,32670,6,0,0,0,5445.0,43560,88770,0.0827369491259256,0.4964216947555542
33,15,8.835610389709473,67815,16335,49005,6,0,0,0,8167.5,65340,133155,0.12371433774630228,0.7422860264778137
