num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
50000,3,554.5713500976562,1242450000,46305900,702239200,81,0,0,0,8669619.75308642,748545100,1990995100,36.25555555320081,2936.699999809265
50000,5,533.2725830078125,151750000,63419400,124785500,5,0,0,0,24957100.0,188204900,339954900,104.02253556251526,520.1126778125763
50000,10,501.15374755859375,606500000,102261000,456782400,11,0,0,0,41525672.72727273,559043400,1165543400,160.62341716072777,1766.8575887680054
