num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,7.863288879394531,30350000,35412900,121807900,10,0,0,0,12180790.0,157220800,187570800,8.454180121421814,84.54180121421814
25000,5,7.862508773803711,88500000,71111900,437464200,12,0,0,0,36455350.0,508576100,597076100,21.084155182043716,253.0098621845245
40000,5,7.855526447296143,161800000,193162000,626043600,14,0,0,0,44717400.0,819205600,981005600,29.533194967678615,413.4647295475006
