num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,7.863288879394531,30350000,35412900,59936200,5,0,0,0,11987240.0,95349100,125699100,12.53218584060669,62.66092920303345
25000,5,7.862508773803711,88500000,71111900,208616900,6,0,0,0,34769483.333333336,279728800,368228800,28.250383218129475,169.50229930877686
40000,5,7.855526447296143,161800000,193162000,261109300,7,0,0,0,37301328.571428575,454271300,616071300,40.78164751189096,285.4715325832367
