num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
70000,5,7.842148303985596,177100000,322719900,206615900,4,0,0,0,51653975.0,529335800,706435800,80.74096339941025,322.963853597641
70000,10,7.350424766540527,849100000,452426700,1336988800,11,0,0,0,121544436.36363636,1789415500,2638515500,110.43579704111272,1214.79376745224
70000,15,7.082432270050049,3606750000,511917800,6643188900,33,0,0,0,201308754.54545453,7155106700,10761856700,143.893018765883,4748.469619274139
