num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,total_complexity_with_caching,runtime_per_swap,total_runtime
10000,10,79.85260009765625,126134581,15163977,326417631,12,3730493,119784846,289850076,27201469.25,341581608,467716189,347931343,9.582999169826508,114.99599003791808
25000,10,79.39730072021484,267686442,37180334,947598950,10,9112186,242929724,821509370,94759895.0,984779284,1252465726,1009536002,31.716949677467348,317.16949677467346
40000,10,78.90111541748047,423452299,57904203,1124130328,10,14533375,368808750,991196138,112413032.8,1182034531,1605486830,1236678080,40.51666588783264,405.1666588783264
55000,10,78.677490234375,867280550,81828780,2052786957,16,20249593,778624619,1764399580,128299184.8125,2134615737,3001896287,2223271668,46.82723282277584,749.2357251644135
70000,10,78.99392700195312,920014411,113795345,2907966748,12,27631454,854178126,2584665995,242330562.33333334,3021762093,3941776504,3087598378,87.50159972906113,1050.0191967487335
