num_data,num_medoids,loss,misc_complexity,build_complexity,swap_complexity,number_of_swaps,cache_writes,cache_hits,cache_misses,average_swap_sample_complexity,total_complexity_without_misc,total_complexity_with_misc,runtime_per_swap,total_runtime
10000,5,535.9985961914062,3787256,4888776,40529033,2,7281922,18738229,15631837,20264516.5,45417809,49205065,5.351180076599121,10.702360153198242
10000,10,505.7696533203125,22991558,7112272,283067612,11,7314540,64292071,117340638,25733419.272727277,290179884,313171442,5.974677367643877,65.72145104408264
10000,15,494.408447265625,38817053,11674301,710671858,13,7662305,105402182,333922388,54667066.0,722346159,761163212,12.553930227573101,163.20109295845032
